usuario_id,producto_visto,categoria,tiempo_visualizacion,hizo_pedido,calificacion,hora_del_dia,comentario
12,Golden Wheat Bliss, Craft,162,True,2.0,21:39,
115,Nevado de Café,Bebidas Frías,80,True,1.0,21:17,
100,Nevado de Oreo,Bebidas Frías,190,False,,16:20,
48,Capuccino Caramelo,Bebidas Calientes,178,True,3.0,16:47,
88,Hazy Horizon IPA, Artesanal,102,True,4.0,17:35,
121,HELADO CON BAILEYS,Postres,64,False,,22:08,
53,Bold Citra IPA, Artesanal,264,True,1.0,22:01,
66,Poker, Not Craft,19,False,,23:47,
47,Hofbräu München Original, Alemana,248,True,2.0,20:36,
139,Mango Tango, Craft,19,True,4.0,20:39,
103,Nevado de Mocca,Bebidas Frías,284,False,,18:10,
131,Café Irlandés,Bebidas Calientes,28,True,3.0,17:57,
145,Quesadillas,Snacks,51,False,,20:23,
124,Café Irlandés,Bebidas Calientes,59,False,,17:48,
43,HELADO CON BAILEYS,Postres,42,True,3.0,22:27,
139,Espresso,Bebidas Calientes,141,False,,21:09,
58,Serene Summit Session IPA, Artesanal,148,False,,18:31,
17,Café Irlandés,Bebidas Calientes,30,True,5.0,17:10,
78,Aros de Cebolla,Snacks,229,True,5.0,17:06,
60,Young's Double Chocolate Stout, Inglesa,271,False,,22:02,
126,Mocaccino,Bebidas Calientes,269,False,,23:47,
138,Miller Lite, Not Craft,171,False,,20:54,
86,Latte,Bebidas Calientes,137,False,,22:09,
39,Blueberry Burst Sour, Artesanal,241,True,3.0,18:09,
49,AGAVE CREMOSO,Cocteles,258,False,,16:16,
8,Guava Grove Gose, Artesanal,245,False,,21:01,
105,Citra Simcoe Showdown, Artesanal,14,True,2.0,20:06,
63,Delirium Tremens, Belga,273,True,3.0,16:39,
99,Alitas de Pollo,Snacks,194,False,,23:38,
115,Pilsner Paradise, Craft,35,False,,19:45,
98,Amaretto,Bebidas Calientes,259,True,4.0,17:18,
110,BBC Chapinero, Craft,277,True,4.0,17:54,
29,Alitas de Pollo,Snacks,281,True,3.0,23:55,
98,Cherry Bomb, Craft,169,False,,17:40,
100,Soda de Bretaña,Bebidas Frías,21,False,,23:34,
36,Tacos,Snacks,58,True,5.0,20:18,
33,AFFOGATO,Postres,60,False,,17:42,
47,Molletes,Snacks,139,True,3.0,22:55,
28,Veltins Pilsner, Alemana,174,True,4.0,16:54,
125,Soda de Bretaña,Bebidas Frías,132,False,,16:38,
100,MOJITO,Cocteles,208,False,,16:18,
107,Águila, Not Craft,144,False,,18:05,
11,Malteada de Café,Bebidas Frías,291,True,5.0,23:23,
20,MARGARITA,Cocteles,175,True,1.0,16:08,
106,Peachy Keen Cream Ale, Artesanal,294,True,5.0,23:47,
49,Tacos,Snacks,241,False,,19:12,
129,Dark Elixir, Craft,297,False,,19:19,
28,Raging Citrus Inferno, Artesanal,96,True,2.0,16:11,
95,Summer Wheat Symphony, Craft,271,True,4.0,16:23,
57,Augustiner Bräu Lagerbier, Alemana,144,True,4.0,18:56,
63,Mangozadera,,106,True,2.0,20:14,
100,Velvet Shadow, Craft,247,False,,21:33,
129,Amber Elegance, Craft,229,False,,23:10,
117,Lemonade Shandy, Cítrica,84,False,,21:42,
84,Orange Peel Pale Ale, Cítrica,201,True,4.0,17:13,
120,Mango Tango, Craft,67,False,,21:09,
140,Mystic Mosaic IPA, Artesanal,220,True,2.0,19:26,
81,Palitos de Queso,Snacks,94,False,,19:27,
9,Milo Caliente,Bebidas Calientes,88,True,3.0,18:13,
36,Affligem Tripel, Belga,95,False,,22:53,
132,COCAÍNA RUSA,Cocteles,165,False,,19:29,
37,Malteada de Milo,Bebidas Frías,157,False,,16:46,
7,Chimay Red, Craft,91,False,,19:08,
19,Watermelon Wave Wheat, Artesanal,69,False,,22:47,
14,Mocaccino,Bebidas Calientes,113,True,1.0,17:01,
115,Alas BBQ,Snacks,241,True,3.0,16:13,
44,Soda de Coca-Cola,Bebidas Frías,12,False,,19:20,
12,Capuccino,Bebidas Calientes,106,False,,20:15,
80,COCAÍNA RUSA,Cocteles,190,True,1.0,22:28,
63,Nachos,Snacks,243,False,,17:04,
87,3 Cordilleras Negra, Craft,20,False,,21:11,
99,Café Americano,Bebidas Calientes,31,True,5.0,22:58,
109,Blackberry Bliss Porter, Artesanal,159,False,,23:09,
125,AFFOGATO,Postres,277,True,5.0,17:35,
143,Costillas BBQ,Snacks,153,False,,23:58,
44,Juicy Mango Infusion, Artesanal,272,False,,18:51,
58,Mönchshof Schwarzbier, Alemana,179,True,4.0,22:26,
85,Piraat, Belga,64,False,,19:07,
122,Ruby Red Saison, Craft,204,False,,21:22,
9,Soda Italiana de Lulo,Bebidas Frías,173,False,,23:49,
76,Aromática,Bebidas Calientes,221,False,,18:47,
142,Espresso Doble,Bebidas Calientes,219,False,,19:28,
63,Sunflower Saison, Craft,220,False,,16:10,
12,Granizado de Milo,Bebidas Frías,204,True,5.0,17:02,
25,Soda de Ginger,Bebidas Frías,250,True,3.0,16:35,
133,Onyx Porter, Craft,80,True,2.0,23:42,
69,Apricot Aurora Amber, Artesanal,122,False,,18:09,
132,Chimay Grande Réserve (Blue), Belga,24,True,2.0,18:58,
1,Capuccino Caramelo,Bebidas Calientes,122,False,,19:09,
76,Costillas BBQ,Snacks,119,True,4.0,18:03,
24,Old Speckled Hen, Inglesa,100,False,,17:41,
141,Brown Honey Ale, Craft,105,True,2.0,23:03,
24,Ruby Red Saison, Craft,18,False,,17:00,
21,Weihenstephaner Vitus, Alemana,100,False,,19:22,
108,TORTA CHOCOLATE,Postres,23,False,,22:11,
55,GIN AND TONIC,Cocteles,127,False,,21:40,
11,Limonada de Coco,Bebidas Frías,285,False,,18:32,
78,3 Cordilleras Negra, Craft,41,False,,20:45,
44,Latte,Bebidas Calientes,36,False,,17:34,
101,Limonada Natural,Bebidas Frías,98,True,2.0,23:20,
27,Granizado de Café,Bebidas Frías,43,False,,23:02,
125,Lemon Zest Wheat, Cítrica,106,False,,18:39,
128,Paulaner Original Münchner, Alemana,171,True,1.0,16:26,
61,Samuel Smith's Oatmeal Stout, Inglesa,79,True,5.0,19:03,
36,Mocaccino Oreo,Bebidas Calientes,10,True,2.0,17:46,
16,Barrel-Aged Barleywine, Craft,125,True,4.0,18:27,
50,ORGASMO,Cocteles,86,True,3.0,16:41,
121,Blueberry Burst Sour, Artesanal,41,True,4.0,20:12,
64,Águila, Not Craft,155,True,5.0,19:21,
20,COCAÍNA RUSA,Cocteles,295,False,,23:27,
70,Midnight Stout, Craft,78,False,,17:43,
36,Rollitos de Primavera,Snacks,147,True,5.0,20:12,
17,Nachos,Snacks,48,False,,23:12,
138,Malteada de Mocca,Bebidas Frías,127,False,,17:59,
45,Malteada de Café,Bebidas Frías,257,False,,23:02,
31,CAIPIRIÑA,Cocteles,218,True,4.0,23:15,
116,Plum Paradise Pilsner, Artesanal,84,True,3.0,21:20,
37,Lemon Lime Lager, Artesanal,295,True,1.0,22:09,
107,Papas Bravas,Snacks,237,False,,17:51,
123,Fuller's London Porter, Inglesa,39,True,2.0,19:01,
103,Weltenburger Kloster Asam-Bock, Alemana,193,False,,19:33,
1,BBC Bacatá, Craft,210,True,2.0,16:39,
127,Mönchshof Schwarzbier, Alemana,207,False,,20:54,
95,Smoothie de Frutos Rojos,Bebidas Frías,206,False,,17:44,
117,Westmalle Dubbel, Belga,281,False,,16:51,
2,Serene Summit Session IPA, Artesanal,76,True,1.0,20:50,
66,Obsidian Night, Craft,290,True,2.0,20:09,
125,Plum Paradise Pilsner, Artesanal,154,True,3.0,18:09,
113,Tropical Citrus IPA, Cítrica,65,True,3.0,16:27,
91,Casilda, Craft,286,False,,23:33,
126,Deditos de Queso,Snacks,76,True,2.0,17:39,
100,Tropical Storm IPA, Artesanal,170,False,,21:04,
126,Espresso,Bebidas Calientes,214,True,1.0,19:22,
142,Guava Grove Gose, Artesanal,128,True,4.0,18:21,
126,Jamaica,,189,False,,16:06,
113,Malteada de Oreo,Bebidas Frías,93,True,4.0,18:49,
43,Erdinger Weissbier, Alemana,22,True,4.0,21:17,
32,Citrus Burst Sour, Cítrica,142,False,,19:39,
18,HELADO CON BAILEYS,Postres,129,False,,16:43,
56,Tropical Storm IPA, Artesanal,277,True,3.0,20:21,
5,Cherry Blossom Euphoria, Artesanal,43,False,,17:56,
85,Granizado de Mocca,Bebidas Frías,57,False,,20:02,
144,Marston's Pedigree, Inglesa,211,True,2.0,20:09,
84,Granizado de Milo,Bebidas Frías,33,False,,17:11,
125,Granizado de Café Caramelo,Bebidas Frías,62,False,,17:50,
30,Escandinava Jengibre,,105,False,,20:34,
108,MOJITO,Cocteles,242,False,,21:26,
62,Soda de Ginger,Bebidas Frías,274,True,4.0,16:33,
39,Rollitos de Primavera,Snacks,195,False,,18:47,
136,Quesadillas,Snacks,113,False,,21:14,
87,La Chouffe, Belga,90,False,,17:25,
101,Café Irlandés,Bebidas Calientes,128,False,,19:51,
57,Tacos,Snacks,225,True,1.0,17:26,
64,AFFOGATO,Postres,20,False,,22:19,
149,Gaffel Kölsch, Alemana,70,True,4.0,21:14,
77,Adnams Broadside, Inglesa,271,False,,18:55,
147,Café Frozen,Bebidas Frías,25,True,1.0,18:03,
131,Lemon Lime Lager, Artesanal,199,False,,18:00,
123,AFFOGATO,Postres,245,True,1.0,20:05,
137,Malteada de Vanilla,Bebidas Frías,244,True,5.0,19:34,
57,AFFOGATO,Postres,64,True,4.0,23:04,
79,India Pale Ale, Craft,156,True,4.0,19:27,
45,Guinness Draught, Not Craft,17,False,,20:40,
44,WHISKY SOUR,Cocteles,282,False,,19:36,
61,Grolsch Premium Lager, Not Craft,30,False,,22:04,
77,Weltenburger Kloster Asam-Bock, Alemana,212,False,,18:58,
14,LAGUNA AZUL,Cocteles,119,True,5.0,22:23,
3,MARGARITA,Cocteles,131,True,2.0,20:30,
79,TORTA CHOCOLATE,Postres,137,True,4.0,23:28,
132,AGAVE CREMOSO,Cocteles,88,False,,17:37,
36,Lime Squeeze Lager, Cítrica,57,False,,16:00,
9,Barrel-Aged Barleywine, Craft,31,False,,17:40,
31,Midnight Hop Madness, Artesanal,293,True,3.0,23:45,
140,Chimay Blue, Craft,46,True,5.0,18:31,
63,AGAVE CREMOSO,Cocteles,95,True,1.0,20:48,
123,Hop Heaven, Craft,205,True,3.0,23:02,
127,Limonada de Mango,Bebidas Frías,60,False,,17:10,
13,Águila, Not Craft,18,True,3.0,22:27,
66,Ayinger Bräuweisse, Alemana,270,False,,19:32,
47,Granizado de Café Caramelo,Bebidas Frías,219,True,4.0,17:03,
90,Malteada de Oreo,Bebidas Frías,278,True,4.0,22:54,
5,Mangozadera,,258,True,4.0,20:31,
143,Granizado de Café Caramelo,Bebidas Frías,274,False,,21:45,
29,Citrus Blonde Ale, Cítrica,34,False,,23:03,
23,Golden Sunshine, Craft,178,True,2.0,23:21,
15,Resilient Rye IPA, Artesanal,193,False,,17:55,
79,Granizado de Café Caramelo,Bebidas Frías,163,False,,19:22,
95,HELADO CON BAILEYS,Postres,54,False,,22:48,
47,Café Americano,Bebidas Calientes,42,True,5.0,17:18,
125,Apricot Aurora Amber, Artesanal,243,False,,20:33,
101,London Porter, Not Craft,111,False,,19:12,
51,London Porter, Not Craft,57,False,,17:59,
16,WHISKY SOUR,Cocteles,94,False,,18:05,
96,Westmalle Dubbel, Belga,121,True,1.0,21:47,
112,Costillas BBQ,Snacks,16,False,,21:20,
74,Ceviche de Camarones,Snacks,32,True,5.0,23:14,
54,Resilient Rye IPA, Artesanal,232,False,,19:47,
87,Passion Punch Pale Ale, Artesanal,288,True,5.0,23:41,
80,Malteada de Mocca,Bebidas Frías,295,True,5.0,22:44,
149,Andechs Vollbier Hell, Alemana,162,True,5.0,22:43,
68,Budweiser, Not Craft,116,False,,22:39,
37,Soda Italiana de Mora,Bebidas Frías,55,False,,16:00,
124,Affligem Tripel, Belga,199,False,,21:28,
142,Malteada de Vanilla,Bebidas Frías,83,False,,23:47,
91,Apricot Aurora Amber, Artesanal,83,False,,23:43,
128,Lemon Zest Wheat, Cítrica,90,True,3.0,17:18,
107,Ayinger Celebrator Doppelbock, Not Craft,212,False,,16:04,
50,Ayinger Bräuweisse, Alemana,57,False,,22:28,
104,Maria,,199,False,,21:15,
28,Rochefort 10, Belga,198,True,3.0,21:52,
16,Quesadillas,Snacks,176,True,5.0,22:13,
70,Heineken, Not Craft,170,True,4.0,21:20,
3,Nevado de Café Caramelo,Bebidas Frías,160,False,,16:21,
86,Mocaccino,Bebidas Calientes,155,True,5.0,18:51,
35,Costeña, Not Craft,213,False,,23:18,
41,Smoothie de Frutos Rojos,Bebidas Frías,47,True,1.0,22:34,
61,Chimay Grande Réserve (Blue), Belga,149,False,,19:44,
10,Malteada de Café,Bebidas Frías,191,False,,16:54,
16,Summer Wheat Symphony, Craft,211,True,3.0,21:14,
29,Hoppy Heaven IPA, Artesanal,14,False,,18:16,
43,3 Cordilleras Negra, Craft,49,False,,19:22,
51,Soda Italiana de Mora,Bebidas Frías,294,False,,22:39,
78,Granizado de Café,Bebidas Frías,54,True,2.0,16:53,
68,COCAÍNA RUSA,Cocteles,48,False,,23:38,
32,Nachos,Snacks,180,True,4.0,19:16,
83,Bass Pale Ale, Inglesa,246,False,,22:05,
1,Rochefort 10, Belga,111,True,3.0,17:29,
51,AFFOGATO,Postres,231,True,3.0,19:54,
134,Limonada de Coco,Bebidas Frías,174,False,,23:49,
61,Mocaccino Oreo,Bebidas Calientes,244,True,5.0,22:58,
71,Chimay Red, Craft,145,True,3.0,23:23,
118,Affligem Tripel, Belga,20,False,,20:00,
77,Citrus Burst Sour, Cítrica,280,False,,23:27,
83,Budweiser, Not Craft,190,True,3.0,17:43,
141,Soda de Coca-Cola,Bebidas Frías,149,True,3.0,19:24,
111,Delirium Tremens, Craft,241,False,,22:14,
110,Scarlet Sunrise, Craft,40,True,1.0,17:15,
29,Roja Magdalena,,103,True,3.0,22:53,
139,Delirium Argentum, Craft,135,False,,22:36,
66,Adnams Broadside, Inglesa,146,True,2.0,23:41,
17,Limonada de Cerezada,Bebidas Frías,43,False,,20:13,
36,Young's Double Chocolate Stout, Inglesa,242,True,4.0,20:02,
76,Pilsner Paradise, Craft,102,False,,20:14,
118,Amaretto,Bebidas Calientes,54,True,1.0,18:16,
91,Kiwi Kaleidoscope Kölsch, Artesanal,137,False,,19:42,
94,Capuccino Caramelo,Bebidas Calientes,135,False,,23:45,
29,Aros de Cebolla,Snacks,137,False,,18:00,
45,Limonada Natural,Bebidas Frías,82,True,5.0,22:46,
52,Gaffel Kölsch, Alemana,15,False,,19:04,
134,GIN AND TONIC,Cocteles,108,True,4.0,17:27,
87,Duvel, Belga,32,False,,21:02,
78,MOJITO,Cocteles,189,False,,18:34,
79,Limonada de Yerbabuena,Bebidas Frías,67,False,,16:20,
93,Affligem Tripel, Belga,74,False,,21:17,
27,Nevado de Oreo,Bebidas Frías,44,False,,17:13,
9,Aromática,Bebidas Calientes,115,True,3.0,21:20,
69,Raging Citrus Inferno, Artesanal,105,True,4.0,20:33,
81,Gaffel Kölsch, Alemana,136,True,1.0,23:33,
140,Cranberry Crush, Craft,265,False,,21:29,
28,Citra Simcoe Showdown, Artesanal,47,True,3.0,20:15,
33,Gaffel Kölsch, Alemana,277,False,,17:48,
126,Roja Magdalena,,102,False,,20:34,
141,Malteada de Vanilla,Bebidas Frías,191,False,,17:37,
21,CABEZA DE JABALÍ,Cocteles,187,False,,16:29,
142,Nevado de Café,Bebidas Frías,258,False,,22:40,
66,Limonada de Café,Bebidas Frías,200,False,,20:55,
110,Soda Italiana de Lulo,Bebidas Frías,182,False,,16:32,
47,Aromática,Bebidas Calientes,162,True,2.0,20:31,
103,Delirium Red, Craft,67,False,,18:19,
28,Empanadas,Snacks,63,True,4.0,22:51,
112,Budweiser, Not Craft,83,False,,21:14,
106,Amber Elegance, Craft,20,False,,16:45,
125,Carajillo,Bebidas Calientes,25,True,2.0,18:40,
134,Limonada de Cerezada,Bebidas Frías,91,False,,22:33,
121,Deditos de Queso,Snacks,122,False,,16:29,
69,Mango Tango, Craft,86,False,,21:34,
41,Espresso Doble,Bebidas Calientes,135,True,1.0,18:15,
24,Café Campesino,Bebidas Calientes,51,True,1.0,16:10,
99,Obsidian Night, Craft,116,False,,21:54,
136,Empanadas,Snacks,237,False,,21:06,
139,Raspberry Ripple Delight, Artesanal,298,False,,19:13,
148,Casilda, Craft,212,True,5.0,21:31,
80,Latte,Bebidas Calientes,170,True,2.0,23:28,
121,Café Frozen,Bebidas Frías,235,True,3.0,20:28,
9,Café Campesino,Bebidas Calientes,32,True,5.0,23:38,
106,St. Austell Tribute, Inglesa,73,True,2.0,18:39,
129,Mocaccino,Bebidas Calientes,94,True,1.0,19:38,
58,Westmalle Tripel, Belga,284,False,,23:27,
87,Nachos,Snacks,43,True,5.0,18:47,
24,LAGUNA AZUL,Cocteles,78,False,,23:29,
41,Scarlet Sunrise, Craft,247,False,,19:34,
26,Augustiner Bräu Lagerbier, Alemana,119,False,,19:25,
77,WHISKY SOUR,Cocteles,273,False,,21:22,
122,Rojo Diablo, Craft,190,True,4.0,17:34,
116,Malteada de Mocca,Bebidas Frías,181,True,4.0,23:25,
16,Soda Italiana de Maracuyá,Bebidas Frías,279,True,1.0,17:52,
85,Latte,Bebidas Calientes,237,True,4.0,22:40,
86,Malteada de Oreo,Bebidas Frías,204,True,2.0,20:04,
148,Soda Italiana de Lulo,Bebidas Frías,268,True,1.0,19:54,
133,Mango Tango Wheat Beer, Artesanal,211,True,1.0,18:10,
97,Citrus Burst Sour, Cítrica,215,True,3.0,17:12,
37,AFFOGATO,Postres,115,True,5.0,17:55,
97,Gulden Draak, Belga,13,False,,22:26,
97,Capuccino Caramelo,Bebidas Calientes,144,False,,18:23,
16,Guinness Nitro IPA, Not Craft,175,True,3.0,21:52,
66,GIN AND TONIC,Cocteles,91,False,,16:27,
56,Empanadas,Snacks,154,True,2.0,22:48,
89,COCAÍNA RUSA,Cocteles,187,False,,19:45,
71,TORTA CHOCOLATE,Postres,247,False,,18:21,
6,Hazy Horizon IPA, Artesanal,73,False,,17:44,
139,Onyx Porter, Craft,227,True,3.0,19:46,
125,Soda de Ginger,Bebidas Frías,109,True,3.0,20:47,
136,Chocolate Obsession, Craft,288,True,3.0,17:22,
42,Soda de Ginger,Bebidas Frías,73,False,,18:06,
66,Hop Heaven, Craft,74,False,,19:48,
92,Bitburger Premium Pilsner, Alemana,163,True,4.0,22:40,
40,GIN AND TONIC,Cocteles,174,True,4.0,19:44,
119,Young's Double Chocolate Stout, Inglesa,299,False,,18:46,
127,Coal Miner's Delight, Craft,62,False,,21:00,
19,Carajillo,Bebidas Calientes,280,True,4.0,17:58,
105,Soda de Bretaña,Bebidas Frías,177,True,5.0,22:27,
144,Grolsch Premium Lager, Not Craft,112,False,,22:45,
93,Honey Wheat Harmony, Craft,244,False,,16:02,
13,Quesadillas,Snacks,127,False,,16:53,
132,Gaffel Kölsch, Alemana,29,True,4.0,17:24,
98,Rothaus Pils Tannenzäpfle, Alemana,147,True,4.0,18:50,
97,Papa Rock,Snacks,25,False,,22:10,
30,Soda Italiana de Lulo,Bebidas Frías,88,True,1.0,20:29,
111,Paulaner Hefe-Weizen, Not Craft,149,True,3.0,20:38,
27,AFFOGATO,Postres,69,False,,21:31,
142,Izzy,,16,True,4.0,16:43,
89,ORGASMO,Cocteles,198,False,,23:08,
79,ORGASMO,Cocteles,128,False,,23:00,
104,Soda de Bretaña,Bebidas Frías,210,False,,16:40,
24,Malteada de Milo,Bebidas Frías,161,True,2.0,22:04,
146,Cranberry Crush, Craft,225,True,4.0,23:23,
94,Veltins Pilsner, Alemana,299,False,,20:24,
127,Fuller's London Pride, Inglesa,157,False,,22:36,
75,Mystic Mosaic IPA, Artesanal,58,True,1.0,16:12,
132,Old Speckled Hen, Inglesa,40,True,3.0,18:45,
98,Granizado de Café,Bebidas Frías,169,True,2.0,19:52,
20,COSMOPOLITAN,Cocteles,243,False,,19:52,
134,Ruby Red Saison, Craft,223,False,,21:30,
131,Paulaner Original Münchner, Alemana,179,True,5.0,18:19,
105,Costillas BBQ,Snacks,191,True,1.0,18:54,
147,Malteada de Mocca,Bebidas Frías,85,False,,16:25,
24,Juicy Mango Infusion, Artesanal,200,True,5.0,22:51,
45,Aromática,Bebidas Calientes,295,False,,22:14,
136,Nevado de Milo,Bebidas Frías,262,False,,16:28,
32,Aromática,Bebidas Calientes,257,False,,18:48,
121,Café Irlandés,Bebidas Calientes,107,False,,22:11,
61,Espresso Doble,Bebidas Calientes,162,False,,22:10,
50,COSMOPOLITAN,Cocteles,42,True,5.0,23:23,
112,AGAVE CREMOSO,Cocteles,287,False,,21:25,
147,Old Speckled Hen, Inglesa,77,False,,18:40,
53,Limonada de Cerezada,Bebidas Frías,114,False,,20:34,
19,Malteada de Oreo,Bebidas Frías,143,True,2.0,19:05,
92,Nevado de Milo,Bebidas Frías,30,False,,17:55,
28,Granizado de Café Caramelo,Bebidas Frías,259,True,1.0,19:54,
50,Blueberry Burst Sour, Artesanal,194,True,1.0,18:00,
27,Gaffel Kölsch, Alemana,123,True,4.0,21:30,
70,Empanadas,Snacks,183,False,,18:44,
91,Alitas de Pollo,Snacks,296,False,,22:18,
20,Timothy Taylor's Landlord, Inglesa,68,True,4.0,16:10,
32,3 Cordilleras Blanca, Craft,289,True,5.0,20:45,
36,CABEZA DE JABALÍ,Cocteles,30,True,3.0,18:08,
86,Citrus Symphony Saison, Artesanal,56,True,5.0,20:39,
31,ORGASMO,Cocteles,45,True,2.0,23:26,
123,Café Americano,Bebidas Calientes,220,False,,19:33,
144,Tropical Storm IPA, Artesanal,55,True,4.0,20:07,
95,Costeña, Not Craft,238,False,,17:39,
64,Rojo Diablo, Craft,126,False,,18:16,
49,Timothy Taylor's Landlord, Inglesa,21,False,,23:03,
1,Lindemans Framboise, Belga,250,True,2.0,19:30,
100,Palitos de Queso,Snacks,233,True,4.0,21:14,
38,Yolanda,,146,True,1.0,21:34,
54,Amaretto,Bebidas Calientes,208,True,3.0,23:43,
82,Alitas de Pollo,Snacks,275,False,,22:30,
74,Golden Sunshine, Craft,214,True,4.0,23:21,
33,Capuccino Caramelo,Bebidas Calientes,72,False,,16:58,
131,Nevado de Café,Bebidas Frías,150,True,1.0,23:16,
116,HELADO CON BAILEYS,Postres,171,False,,21:05,
105,Club Colombia Roja, Not Craft,216,False,,19:51,
41,Samuel Smith's Organic Chocolate Stout, Inglesa,86,True,3.0,22:33,
140,WHISKY SOUR,Cocteles,169,False,,19:12,
99,AFFOGATO,Postres,99,True,4.0,20:04,
35,Granizado de Mocca,Bebidas Frías,149,True,5.0,17:06,
138,Strawberry Serenity Wheat, Artesanal,169,True,3.0,23:41,
113,Theakston Old Peculier, Inglesa,245,True,2.0,23:57,
83,Golden Sunshine, Craft,75,True,2.0,17:49,
117,Passionfruit Paradise Ale, Artesanal,244,False,,23:21,
111,AFFOGATO,Postres,46,False,,16:43,
17,Electric Pineapple IPA, Artesanal,139,False,,16:40,
76,Summer Ale,,200,True,5.0,22:16,
108,TORTA CHOCOLATE,Postres,109,False,,16:23,
74,MOJITO,Cocteles,254,True,2.0,22:07,
97,Electric Pineapple IPA, Artesanal,267,False,,16:15,
10,Affligem Tripel, Belga,100,True,5.0,17:12,
39,TORTA CHOCOLATE,Postres,84,False,,17:36,
139,Soda de Coca-Cola,Bebidas Frías,288,True,3.0,21:13,
136,Theakston Old Peculier, Inglesa,27,False,,22:38,
142,Summer Saison, Craft,148,False,,19:54,
75,Rochefort 10, Belga,298,True,4.0,20:43,
130,Obsidian Night, Craft,183,False,,16:46,
111,Duvel, Belga,279,True,1.0,21:55,
70,Rollitos de Primavera,Snacks,72,False,,20:53,
29,Café Irlandés,Bebidas Calientes,290,False,,19:43,
101,Fuller's London Porter, Inglesa,164,False,,21:14,
27,Espresso Doble,Bebidas Calientes,137,True,2.0,19:56,
63,Empanadas,Snacks,76,True,5.0,16:09,
77,LAGUNA AZUL,Cocteles,192,False,,23:34,
101,Fuller's London Pride, Inglesa,199,True,2.0,21:34,
74,Marston's Pedigree, Inglesa,125,False,,18:57,
5,Costeña, Not Craft,186,True,1.0,23:43,
138,Carajillo,Bebidas Calientes,292,False,,19:09,
114,Capuccino Caramelo,Bebidas Calientes,20,True,5.0,21:30,
124,Limonada Natural,Bebidas Frías,34,False,,19:57,
64,Citrus Blonde Ale, Cítrica,260,False,,17:59,
30,Samuel Smith's Organic Chocolate Stout, Inglesa,49,False,,21:59,
68,Weltenburger Kloster Asam-Bock, Alemana,292,False,,22:37,
124,Mango Tango, Craft,100,False,,18:49,
100,Watermelon Wave Wheat, Artesanal,77,False,,19:35,
128,Granizado de Mocca,Bebidas Frías,101,True,4.0,21:23,
